emotion,confidence,timestamp,datetime
sad,0.53,1768804684.3271654,2026-01-19 13:38:04
sad,0.46,1768804684.6377366,2026-01-19 13:38:04
angry,0.41,1768804684.9400084,2026-01-19 13:38:04
sad,0.4,1768804685.2549977,2026-01-19 13:38:05
neutral,0.46,1768804685.6041863,2026-01-19 13:38:05
happy,0.84,1768804685.913886,2026-01-19 13:38:05
happy,0.62,1768804686.2202823,2026-01-19 13:38:06
sad,0.31,1768804686.5327291,2026-01-19 13:38:06
happy,0.88,1768804686.7894492,2026-01-19 13:38:06
happy,0.99,1768804687.0390244,2026-01-19 13:38:07
happy,0.99,1768804687.377937,2026-01-19 13:38:07
happy,1.0,1768804687.6945202,2026-01-19 13:38:07
happy,1.0,1768804688.014475,2026-01-19 13:38:08
happy,0.98,1768804688.3338923,2026-01-19 13:38:08
angry,0.31,1768804688.6102006,2026-01-19 13:38:08
neutral,0.43,1768804688.9538624,2026-01-19 13:38:08
sad,0.42,1768804689.3357363,2026-01-19 13:38:09
neutral,0.4,1768804689.6414466,2026-01-19 13:38:09
neutral,0.46,1768804689.9469578,2026-01-19 13:38:09
neutral,0.4,1768804690.2000518,2026-01-19 13:38:10
neutral,0.42,1768804690.4465532,2026-01-19 13:38:10
sad,0.37,1768804690.7145932,2026-01-19 13:38:10
sad,0.35,1768804690.96795,2026-01-19 13:38:10
angry,0.44,1768804691.2116983,2026-01-19 13:38:11
sad,0.45,1768804691.4700518,2026-01-19 13:38:11
sad,0.39,1768804691.728174,2026-01-19 13:38:11
sad,0.46,1768804691.9478157,2026-01-19 13:38:11
sad,0.54,1768804692.2033036,2026-01-19 13:38:12
sad,0.49,1768804692.4749136,2026-01-19 13:38:12
neutral,0.37,1768804692.7941391,2026-01-19 13:38:12
sad,0.39,1768804693.0880992,2026-01-19 13:38:13
sad,0.5,1768804693.408109,2026-01-19 13:38:13
sad,0.44,1768804693.7383444,2026-01-19 13:38:13
sad,0.52,1768804693.9974158,2026-01-19 13:38:13
sad,0.4,1768804694.2916243,2026-01-19 13:38:14
sad,0.49,1768804694.544789,2026-01-19 13:38:14
sad,0.55,1768804694.837287,2026-01-19 13:38:14
angry,0.4,1768804695.535519,2026-01-19 13:38:15
neutral,0.34,1768804696.0236037,2026-01-19 13:38:16
neutral,0.29,1768804696.406437,2026-01-19 13:38:16
happy,0.88,1768804696.6647472,2026-01-19 13:38:16
neutral,0.54,1768804697.2120514,2026-01-19 13:38:17
angry,0.53,1768804697.5135012,2026-01-19 13:38:17
happy,0.99,1768804700.170034,2026-01-19 13:38:20
happy,1.0,1768804700.4862685,2026-01-19 13:38:20
happy,1.0,1768804700.9337788,2026-01-19 13:38:20
happy,0.99,1768804701.2633195,2026-01-19 13:38:21
happy,0.98,1768804701.5635715,2026-01-19 13:38:21
happy,0.99,1768804701.8882134,2026-01-19 13:38:21
happy,0.92,1768804702.2175434,2026-01-19 13:38:22
neutral,0.67,1768804702.4958057,2026-01-19 13:38:22
neutral,0.54,1768804702.756533,2026-01-19 13:38:22
neutral,0.45,1768804703.00742,2026-01-19 13:38:23
neutral,0.53,1768804703.2890043,2026-01-19 13:38:23
neutral,0.52,1768804703.5834465,2026-01-19 13:38:23
angry,0.47,1768804703.8246243,2026-01-19 13:38:23
