emotion,confidence,timestamp
neutral,0.49,1767000824.3549535
neutral,0.4,1767000824.5164828
sad,0.39,1767000824.6971483
neutral,0.34,1767000824.890599
sad,0.33,1767000825.052394
sad,0.37,1767000825.2086437
neutral,0.39,1767000825.3761923
sad,0.32,1767000825.5400786
neutral,0.37,1767000825.7005932
neutral,0.33,1767000825.842871
neutral,0.33,1767000826.0088012
neutral,0.39,1767000826.1859736
neutral,0.38,1767000826.3372712
fear,0.36,1767000826.5058181
neutral,0.37,1767000826.6798546
neutral,0.37,1767000826.8349056
neutral,0.39,1767000827.002014
neutral,0.44,1767000827.1755955
fear,0.29,1767000827.3506835
sad,0.37,1767000827.5192223
fear,0.32,1767000827.669962
fear,0.33,1767000827.8178816
neutral,0.34,1767000827.9720638
fear,0.33,1767000828.1350052
fear,0.36,1767000828.2830868
sad,0.32,1767000828.443373
fear,0.45,1767000828.6120925
fear,0.42,1767000828.7674248
fear,0.49,1767000828.9472735
fear,0.46,1767000829.1068044
fear,0.46,1767000829.264064
fear,0.43,1767000829.4201856
fear,0.47,1767000829.5846686
fear,0.48,1767000829.7628107
fear,0.47,1767000829.9212754
fear,0.48,1767000830.0813813
fear,0.46,1767000830.2532573
fear,0.39,1767000830.4034367
fear,0.4,1767000830.587112
sad,0.46,1767000830.7378142
sad,0.47,1767000830.8983412
sad,0.41,1767000831.045315
fear,0.39,1767000831.1993756
fear,0.39,1767000831.3746486
fear,0.44,1767000831.5442877
sad,0.41,1767000831.7073288
sad,0.4,1767000831.88207
sad,0.41,1767000832.0328398
sad,0.41,1767000832.1802924
sad,0.36,1767000832.3390536
sad,0.45,1767000832.4990087
sad,0.43,1767000832.6358984
sad,0.42,1767000832.8056002
sad,0.41,1767000832.9782507
sad,0.43,1767000833.1342597
sad,0.4,1767000833.2923484
sad,0.53,1767000833.4475315
sad,0.51,1767000833.6029253
sad,0.35,1767000833.777847
fear,0.52,1767000833.9412506
sad,0.4,1767000834.0889683
fear,0.47,1767000834.2430685
fear,0.42,1767000834.4026997
fear,0.42,1767000834.5783339
fear,0.46,1767000834.7422643
fear,0.49,1767000834.899153
fear,0.41,1767000835.0371747
fear,0.4,1767000835.1966705
fear,0.41,1767000835.3625767
fear,0.45,1767000835.4966953
fear,0.53,1767000835.6578531
fear,0.45,1767000835.803218
sad,0.45,1767000835.9687698
sad,0.5,1767000836.1308289
sad,0.44,1767000836.264154
sad,0.47,1767000836.4216175
sad,0.48,1767000836.5666995
sad,0.45,1767000836.745675
sad,0.41,1767000836.8936005
sad,0.4,1767000837.0503547
fear,0.43,1767000837.1935585
sad,0.37,1767000837.3840675
fear,0.36,1767000837.5351894
fear,0.38,1767000837.6987789
sad,0.43,1767000837.8454962
fear,0.41,1767000837.999211
sad,0.41,1767000838.1828978
fear,0.37,1767000838.3371065
sad,0.34,1767000838.4901803
fear,0.42,1767000838.6539516
neutral,0.33,1767000838.8170347
sad,0.38,1767000838.990636
fear,0.34,1767000839.1443236
neutral,0.38,1767000839.3060873
fear,0.47,1767000839.464895
sad,0.35,1767000839.646291
fear,0.36,1767000839.8337102
fear,0.33,1767000840.0466638
neutral,0.33,1767000840.2506866
fear,0.36,1767000840.521409
fear,0.35,1767000840.7363904
neutral,0.35,1767000840.9418507
sad,0.33,1767000841.1438391
neutral,0.66,1767000841.3464203
neutral,0.66,1767000841.5410035
neutral,0.46,1767000841.7410595
neutral,0.47,1767000841.9765058
neutral,0.64,1767000842.1705768
neutral,0.56,1767000842.3654387
neutral,0.79,1767000842.5874424
neutral,0.55,1767000842.7608166
neutral,0.65,1767000842.9597077
neutral,0.59,1767000843.1291459
neutral,0.52,1767000843.321796
fear,0.35,1767000843.5172477
sad,0.49,1767000843.7045705
sad,0.48,1767000843.9070532
sad,0.56,1767000844.1244788
sad,0.47,1767000844.3220458
sad,0.43,1767000844.6050093
neutral,0.62,1767000844.8236163
neutral,0.66,1767000845.035428
neutral,0.68,1767000845.2304254
neutral,0.51,1767000845.3884616
neutral,0.63,1767000845.5486827
neutral,0.63,1767000845.7330852
